YearM,T-Bill,US Equity,Foreign EQ,Emerging EQ,US Bond,Foreign Bond,HY Bond,Commodity,Real Estate,Hedge Fund
199507,0,0.0372,0.05802828,0.017946835,-0.0067,0.009691683,0.0069,0.0216,0.011133381,0.027501109
199508,0,0.0055,-0.042603556,-0.028255151,0.0074,-0.049905582,0.0014,0.0165,0.010177502,0.01729733
199509,0,0.0335,0.01549015,-0.009046066,0.0054,0.027015076,0.0069,-0.0001,0.014002047,0.015301955
199510,0,-0.0152,-0.03132363,-0.042980068,0.0083,0.005776989,0.0027,0.0054,-0.023096879,-0.011201635
199511,0,0.0396,0.0238851,-0.02203327,0.0108,0.003302922,0.0056,0.0228,0.005831109,0.014698828
199512,0,0.0103,0.035645813,0.039452024,0.0091,0.010106362,0.0106,0.0974,0.049962028,0.015903177
199601,0,0.0226,4.3014E-05,0.066781764,0.0023,-0.023029492,0.012,-0.0059,0.0148517,0.024597883
199602,0,0.0133,-0.000269873,-0.019799544,-0.0213,-0.001006895,-0.0024,0.0362,0.00380616,0.008399637
199603,0,0.0073,0.017589429,0.003888748,-0.0109,-0.001389885,-0.0071,0.0611,-0.005338932,0.01070281
199604,0,0.0206,0.024719538,0.0353826,-0.0102,-0.007776501,-0.0036,0.0531,-0.001346116,0.034997451
199605,0,0.0236,-0.022363116,-0.008665241,-0.0062,0.000823619,0.003,-0.0121,0.02293973,0.026300559
199606,0,-0.0114,0.001873012,0.002244417,0.0094,0.005512086,0.0015,0.0348,0.009780815,-0.002199899
199607,0,-0.0597,-0.033477372,-0.07284361,-0.0018,0.022880556,0.0028,-0.0518,0.004109949,-0.02529904
199608,0,0.0277,-0.001650833,0.021496727,-0.0058,0.003021278,0.006,0.0281,0.036586004,0.018699965
199609,0,0.0501,0.022418494,0.004262875,0.013,-0.002257296,0.0173,0.0311,0.012991028,0.016298329
199610,0,0.0086,-0.014184818,-0.030869908,0.018,0.017288133,0.0068,-0.0067,0.027883333,0.005599734
199611,0,0.0625,0.035938012,0.012655714,0.013,0.009540328,0.0159,0.0791,0.041398587,0.016699985
199612,0,-0.017,-0.017223487,-7.7011E-05,-0.0139,-0.008351377,0.0034,0.005,0.095044746,0.008701892
199701,0,0.0498,-0.039266232,0.063709679,-0.0014,-0.046369624,0.0032,-0.0192,0.006631595,0.02720022
199702,0,-0.0049,0.012697409,0.038925355,-0.0014,-0.018682765,0.0101,-0.0728,-0.003040461,0.006400047
199703,0,-0.0502,-0.00043236,-0.030567851,-0.0154,-0.011216743,-0.0154,0.0126,-0.013547291,-0.020701818
199704,0,0.0404,0.001247898,-0.002533465,0.0107,-0.020109257,0.0071,0.0188,-0.027099905,-0.005399062
199705,0,0.0674,0.060421742,0.023720369,0.0046,0.024717703,0.015,0.0023,0.027105161,0.038901135
199706,0,0.041,0.051674945,0.049817031,0.0082,0.005718867,0.0118,-0.0578,0.04429486,0.023299282
199707,0,0.0733,0.012083337,0.010627924,0.0227,-0.031176103,0.0197,0.0367,0.025631984,0.034399943
199708,0,-0.0415,-0.078578857,-0.131349295,-0.0126,0.002823105,-0.0063,0.0212,-0.00611094,-0.000699535
199709,0,0.0535,0.051844583,0.023308054,0.0104,0.02383737,0.0127,0.0209,0.075482324,0.032798646
199710,0,-0.038,-0.080845768,-0.168287461,0.0103,0.01918554,0.0024,0.0233,-0.029681225,-0.019500747
199711,0,0.0298,-0.013863566,-0.040387638,0.0007,-0.023536618,0.0051,-0.1025,0.013049153,-0.013199937
199712,0,0.0132,0.004152455,0.01929801,0.0053,-0.014494205,0.0052,-0.0724,0.0148867,0.004000218
199801,0,0.0015,0.041665996,-0.082730266,0.0085,0.000270647,0.0103,-0.0204,-0.008975244,-0.011398666
199802,0,0.0704,0.060498173,0.100475695,-0.0047,0.010752671,0.0002,-0.0699,-0.020870785,0.028800085
199803,0,0.0476,0.027117605,0.039495965,-0.0005,-0.015057404,0.005,-0.0091,0.012593803,0.026098993
199804,0,0.0073,0.003842823,-0.015193366,0.0009,0.018552246,0.0004,-0.0316,-0.03644787,0.005300294
199805,0,-0.0307,-0.00862668,-0.141040745,0.0055,-0.000613838,0.0025,-0.0512,-0.012478478,-0.024799323
199806,0,0.0318,0.003692822,-0.108996121,0.0044,-0.006883286,0.0013,-0.0396,-0.010337183,-0.005400428
199807,0,-0.0246,0.006360369,0.027706356,-0.0019,0.002663643,0.0017,-0.0826,-0.069551048,-0.011899696
199808,0,-0.1608,-0.127968649,-0.293439757,0.012,0.020826499,-0.0475,-0.0633,-0.107774138,-0.091299294
199809,0,0.0615,-0.034996926,0.058834853,0.0188,0.063421231,-0.0026,0.0976,0.058875982,0.002299734
199810,0,0.0713,0.101322014,0.102101807,-0.0085,0.023073306,-0.0199,-0.0501,-0.030434667,0.008997738
199811,0,0.061,0.048379324,0.080068359,0.0026,-0.016270476,0.0427,-0.1248,0.015103545,0.034002168
199812,0,0.0616,0.035891716,-0.018292322,-0.0008,0.017141427,-0.0035,-0.021,-0.033926276,0.024099736
199901,0,0.035,-0.006226756,-0.019634153,0.0036,-0.007571761,0.0059,0.0009,-0.023380083,0.018899839
199902,0,-0.0408,-0.027101275,0.006227063,-0.021,-0.044968138,-0.0112,-0.0495,-0.030346385,-0.01670067
199903,0,0.0345,0.037684263,0.127490339,0.0012,-0.003883093,0.0049,0.1645,-0.009327091,0.027099332
199904,0,0.0433,0.037048724,0.120020905,-0.0005,-0.00629657,0.0119,0.0376,0.093399851,0.041301073
199905,0,-0.0246,-0.054679678,-0.009217478,-0.0122,-0.023873099,-0.0103,-0.058,0.018604142,0.003799019
199906,0,0.0477,0.035217738,0.109491794,-0.0072,-0.024671326,-0.0059,0.0603,-0.017757899,0.03230039
199907,0,-0.0347,0.026153579,-0.030965503,-0.008,0.02759344,-0.0026,0.0321,-0.040499554,0.001399389
199908,0,-0.0138,-2.464E-05,0.005198148,-0.0044,-0.01215104,-0.0138,0.0665,-0.025734415,-0.003999
199909,0,-0.0281,0.006388576,-0.0377421,0.0077,0.022074451,-0.0077,0.0491,-0.041118332,-0.002301188
